,Movie_title,Year,Genre,Average_Rating,Tomatometer,RT_link,Audience_Rating,RT_link,IMDb,IMDb_link,Letterboxd,LB_link,Metascore,Ms_link
88,Annie Hall,1977,"Comedy, Romance",89,97,https://www.rottentomatoes.com/m/annie_hall/,92,https://www.rottentomatoes.com/m/annie_hall/,80,https://www.imdb.com/title/tt0075686,82,https://flickmetrix.com/#,92,https://flickmetrix.com/#
89,Badlands,1973,"Crime, Drama",89,98,https://www.rottentomatoes.com/m/badlands/,91,https://www.rottentomatoes.com/m/badlands/,79,https://www.imdb.com/title/tt0069762,82,https://flickmetrix.com/#,93,https://flickmetrix.com/#
90,Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi",89,93,https://www.rottentomatoes.com/search/?search=Eternal%20Sunshine%20of%20the%20Spotless%20Mind,94,https://www.rottentomatoes.com/search/?search=Eternal%20Sunshine%20of%20the%20Spotless%20Mind,83,https://www.imdb.com/title/tt0338013,84,https://flickmetrix.com/#,89,https://flickmetrix.com/#
91,Free Solo,2018,Documentary,89,98,https://www.rottentomatoes.com/m/free_solo/,95,https://www.rottentomatoes.com/m/free_solo/,86,https://www.imdb.com/title/tt7775622,81,https://flickmetrix.com/#,83,https://flickmetrix.com/#
92,Gone with the Wind,1939,"Drama, History, Romance, War",89,92,https://www.rottentomatoes.com/search/?search=Gone%20with%20the%20Wind,93,https://www.rottentomatoes.com/search/?search=Gone%20with%20the%20Wind,82,https://www.imdb.com/title/tt0031381,79,https://flickmetrix.com/#,97,https://flickmetrix.com/#
93,Inside Out,2015,"Animation, Adventure, Comedy, Drama, Family, Fantasy",89,98,https://www.rottentomatoes.com/m/inside_out_2015/,89,https://www.rottentomatoes.com/m/inside_out_2015/,82,https://www.imdb.com/title/tt2096673,80,https://flickmetrix.com/#,94,https://flickmetrix.com/#
94,Still Walking,2008,Drama,89,100,https://www.rottentomatoes.com/m/1216014_still_walking,90,https://www.rottentomatoes.com/m/1216014_still_walking,80,https://www.imdb.com/title/tt1087578,84,https://flickmetrix.com/#,89,https://flickmetrix.com/#
95,The Lives of Others,2006,"Drama, Thriller",89,92,https://www.rottentomatoes.com/search/?search=The%20Lives%20of%20Others,96,https://www.rottentomatoes.com/search/?search=The%20Lives%20of%20Others,84,https://www.imdb.com/title/tt0405094,82,https://flickmetrix.com/#,89,https://flickmetrix.com/#
96,Toy Story 3,2010,"Animation, Adventure, Comedy, Family, Fantasy",89,98,https://www.rottentomatoes.com/search/?search=Toy%20Story%203,89,https://www.rottentomatoes.com/search/?search=Toy%20Story%203,83,https://www.imdb.com/title/tt0435761,81,https://flickmetrix.com/#,92,https://flickmetrix.com/#
97,Rebecca,1940,"Drama, Mystery, Romance, Thriller",89,100,https://www.rottentomatoes.com/search/?search=Rebecca,92,https://www.rottentomatoes.com/search/?search=Rebecca,81,https://www.imdb.com/title/tt0032976,81,https://flickmetrix.com/#,,https://flickmetrix.com/#
